City,State,Date,Avg_List_Price
Greenville,SC,2020-06-30,279118.0
Ventura,CA,2020-06-30,808167.0
Allentown,PA,2020-06-30,299574.0
El Paso,TX,2020-06-30,204992.0
Baton Rouge,LA,2020-06-30,253300.0
Dayton,OH,2020-06-30,222039.0
McAllen,TX,2020-06-30,207933.0
Columbia,SC,2020-06-30,236177.0
Greensboro,NC,2020-06-30,275867.0
Akron,OH,2020-06-30,178267.0
North Port-Sarasota-Bradenton,FL,2020-06-30,368330.0
Little Rock,AR,2020-06-30,206227.0
Stockton,CA,2020-06-30,428400.0
Charleston,SC,2020-06-30,382707.0
Syracuse,NY,2020-06-30,184902.0
Colorado Springs,CO,2020-06-30,484581.0
Winston-Salem,NC,2020-06-30,295922.0
Wichita,KS,2020-06-30,248383.0
Springfield,MA,2020-06-30,308261.0
Fort Myers,FL,2020-06-30,265710.0
Boise City,ID,2020-06-30,403294.0
Toledo,OH,2020-06-30,190100.0
Madison,WI,2020-06-30,354600.0
Lakeland,FL,2020-06-30,242448.0
Ogden,UT,2020-06-30,418128.0
Daytona Beach,FL,2020-06-30,282300.0
Des Moines,IA,2020-06-30,273567.0
Provo,UT,2020-06-30,429265.0
Durham,NC,2020-06-30,397889.0
Fort Collins,CO,2020-06-30,460783.0
New York,NY,2020-07-31,612596.0
Los Angeles-Long Beach-Anaheim,CA,2020-07-31,927667.0
Chicago,IL,2020-07-31,343800.0
Dallas-Fort Worth,TX,2020-07-31,354800.0
Philadelphia,PA,2020-07-31,323333.0
Houston,TX,2020-07-31,322456.0
Washington,DC,2020-07-31,544300.0
Miami-Fort Lauderdale,FL,2020-07-31,397862.0
Atlanta,GA,2020-07-31,344568.0
Boston,MA,2020-07-31,639933.0
San Francisco,CA,2020-07-31,984364.0
Detroit,MI,2020-07-31,277917.0
Riverside,CA,2020-07-31,446333.0
Phoenix,AZ,2020-07-31,388574.0
Seattle,WA,2020-07-31,668667.0
Minneapolis-St Paul,MN,2020-07-31,394691.0
San Diego,CA,2020-07-31,814967.0
St. Louis,MO,2020-07-31,259763.0
Tampa,FL,2020-07-31,286231.0
Baltimore,MD,2020-07-31,363008.0
Denver,CO,2020-07-31,546633.0
Pittsburgh,PA,2020-07-31,227597.0
Portland,OR,2020-07-31,492148.0
Charlotte,NC,2020-07-31,362320.0
Sacramento,CA,2020-07-31,537667.0
San Antonio,TX,2020-07-31,297300.0
Orlando,FL,2020-07-31,324967.0
Cincinnati,OH,2020-07-31,333163.0
Cleveland,OH,2020-07-31,218267.0
Kansas City,MO,2020-07-31,364950.0
Las Vegas,NV,2020-07-31,335333.0
Columbus,OH,2020-07-31,344933.0
Indianapolis,IN,2020-07-31,311165.0
San Jose,CA,2020-07-31,1238000.0
Austin,TX,2020-07-31,374269.0
Virginia Beach,VA,2020-07-31,313399.0
Nashville,TN,2020-07-31,374933.0
Providence,RI,2020-07-31,419462.0
Milwaukee,WI,2020-07-31,263233.0
Jacksonville,FL,2020-07-31,317967.0
Memphis,TN,2020-07-31,260406.0
Oklahoma City,OK,2020-07-31,299081.0
Louisville-Jefferson County,KY,2020-07-31,299600.0
Hartford,CT,2020-07-31,338503.0
Richmond,VA,2020-07-31,379324.0
New Orleans,LA,2020-07-31,288433.0
Buffalo,NY,2020-07-31,231778.0
Raleigh,NC,2020-07-31,378235.0
Birmingham,AL,2020-07-31,282387.0
Salt Lake City,UT,2020-07-31,493385.0
Rochester,NY,2020-07-31,268739.0
Grand Rapids,MI,2020-07-31,321600.0
Tucson,AZ,2020-07-31,319933.0
Urban Honolulu,HI,2020-07-31,608000.0
Tulsa,OK,2020-07-31,268666.0
Fresno,CA,2020-07-31,380559.0
Worcester,MA,2020-07-31,378393.0
Stamford,CT,2020-07-31,791366.0
Albuquerque,NM,2020-07-31,335013.0
Albany,NY,2020-07-31,309221.0
Omaha,NE,2020-07-31,332045.0
New Haven,CT,2020-07-31,345061.0
Bakersfield,CA,2020-07-31,281300.0
Knoxville,TN,2020-07-31,331667.0
Greenville,SC,2020-07-31,284582.0
Ventura,CA,2020-07-31,834800.0
Allentown,PA,2020-07-31,308189.0
El Paso,TX,2020-07-31,208548.0
Baton Rouge,LA,2020-07-31,258133.0
Dayton,OH,2020-07-31,222761.0
McAllen,TX,2020-07-31,214933.0
Columbia,SC,2020-07-31,239382.0
Greensboro,NC,2020-07-31,285997.0
Akron,OH,2020-07-31,184300.0
North Port-Sarasota-Bradenton,FL,2020-07-31,374833.0
Little Rock,AR,2020-07-31,207458.0
Stockton,CA,2020-07-31,439398.0
Charleston,SC,2020-07-31,391125.0
Syracuse,NY,2020-07-31,188308.0
Colorado Springs,CO,2020-07-31,488532.0
Winston-Salem,NC,2020-07-31,304830.0
Wichita,KS,2020-07-31,260950.0
Springfield,MA,2020-07-31,317869.0
Fort Myers,FL,2020-07-31,269845.0
Boise City,ID,2020-07-31,413291.0
Toledo,OH,2020-07-31,200100.0
Madison,WI,2020-07-31,354600.0
Lakeland,FL,2020-07-31,244510.0
Ogden,UT,2020-07-31,433888.0
Daytona Beach,FL,2020-07-31,285500.0
Des Moines,IA,2020-07-31,276057.0
Provo,UT,2020-07-31,445019.0
Durham,NC,2020-07-31,406900.0
Fort Collins,CO,2020-07-31,465666.0
New York,NY,2020-08-31,629263.0
Los Angeles-Long Beach-Anaheim,CA,2020-08-31,958000.0
Chicago,IL,2020-08-31,348800.0
Dallas-Fort Worth,TX,2020-08-31,358133.0
Philadelphia,PA,2020-08-31,333000.0
Houston,TX,2020-08-31,327290.0
Washington,DC,2020-08-31,550967.0
Miami-Fort Lauderdale,FL,2020-08-31,399855.0
Atlanta,GA,2020-08-31,351235.0
Boston,MA,2020-08-31,648267.0
San Francisco,CA,2020-08-31,998667.0
Detroit,MI,2020-08-31,286300.0
Riverside,CA,2020-08-31,461333.0
Phoenix,AZ,2020-08-31,396908.0
Seattle,WA,2020-08-31,671333.0
Minneapolis-St Paul,MN,2020-08-31,392959.0
San Diego,CA,2020-08-31,841267.0
St. Louis,MO,2020-08-31,258967.0
Tampa,FL,2020-08-31,292672.0
Baltimore,MD,2020-08-31,364675.0
Denver,CO,2020-08-31,550000.0
Pittsburgh,PA,2020-08-31,234130.0
Portland,OR,2020-08-31,495977.0
Charlotte,NC,2020-08-31,367699.0
Sacramento,CA,2020-08-31,547667.0
San Antonio,TX,2020-08-31,299933.0
Orlando,FL,2020-08-31,328333.0
Cincinnati,OH,2020-08-31,334363.0
Cleveland,OH,2020-08-31,220967.0
Kansas City,MO,2020-08-31,361617.0
Las Vegas,NV,2020-08-31,341333.0
Columbus,OH,2020-08-31,341600.0
Indianapolis,IN,2020-08-31,316163.0
San Jose,CA,2020-08-31,1255000.0
Austin,TX,2020-08-31,383795.0
Virginia Beach,VA,2020-08-31,316612.0
Nashville,TN,2020-08-31,378267.0
Providence,RI,2020-08-31,425789.0
Milwaukee,WI,2020-08-31,259900.0
Jacksonville,FL,2020-08-31,319300.0
Memphis,TN,2020-08-31,264267.0
Oklahoma City,OK,2020-08-31,300452.0
Louisville-Jefferson County,KY,2020-08-31,297265.0
Hartford,CT,2020-08-31,345036.0
Richmond,VA,2020-08-31,383359.0
New Orleans,LA,2020-08-31,293467.0
Buffalo,NY,2020-08-31,231743.0
Raleigh,NC,2020-08-31,383164.0
Birmingham,AL,2020-08-31,282277.0
Salt Lake City,UT,2020-08-31,499590.0
Rochester,NY,2020-08-31,268596.0
Grand Rapids,MI,2020-08-31,321633.0
Tucson,AZ,2020-08-31,329967.0
Urban Honolulu,HI,2020-08-31,608333.0
Tulsa,OK,2020-08-31,273294.0
Fresno,CA,2020-08-31,387078.0
Worcester,MA,2020-08-31,381897.0
Stamford,CT,2020-08-31,798522.0
Albuquerque,NM,2020-08-31,343360.0
Albany,NY,2020-08-31,315098.0
Omaha,NE,2020-08-31,332079.0
New Haven,CT,2020-08-31,348550.0
Bakersfield,CA,2020-08-31,289300.0
Knoxville,TN,2020-08-31,341667.0
Greenville,SC,2020-08-31,286425.0
Ventura,CA,2020-08-31,858466.0
Allentown,PA,2020-08-31,315476.0
El Paso,TX,2020-08-31,211090.0
Baton Rouge,LA,2020-08-31,264030.0
Dayton,OH,2020-08-31,219981.0
McAllen,TX,2020-08-31,218600.0
Columbia,SC,2020-08-31,241923.0
Greensboro,NC,2020-08-31,291663.0
Akron,OH,2020-08-31,187333.0
North Port-Sarasota-Bradenton,FL,2020-08-31,380500.0
Little Rock,AR,2020-08-31,205919.0
Stockton,CA,2020-08-31,452227.0
Charleston,SC,2020-08-31,396516.0
Syracuse,NY,2020-08-31,188590.0
Colorado Springs,CO,2020-08-31,488532.0
Winston-Salem,NC,2020-08-31,306346.0
Wichita,KS,2020-08-31,264367.0
Springfield,MA,2020-08-31,324087.0
Fort Myers,FL,2020-08-31,271774.0
Boise City,ID,2020-08-31,421627.0
Toledo,OH,2020-08-31,208233.0
Madison,WI,2020-08-31,351300.0
Lakeland,FL,2020-08-31,247302.0
Ogden,UT,2020-08-31,441208.0
Daytona Beach,FL,2020-08-31,287833.0
Des Moines,IA,2020-08-31,275637.0
Provo,UT,2020-08-31,460138.0
Durham,NC,2020-08-31,416606.0
Fort Collins,CO,2020-08-31,467715.0
New York,NY,2020-09-30,642633.0
Los Angeles-Long Beach-Anaheim,CA,2020-09-30,971000.0
Chicago,IL,2020-09-30,349967.0
Dallas-Fort Worth,TX,2020-09-30,359767.0
Philadelphia,PA,2020-09-30,336333.0
Houston,TX,2020-09-30,331506.0
Washington,DC,2020-09-30,548217.0
Miami-Fort Lauderdale,FL,2020-09-30,401847.0
Atlanta,GA,2020-09-30,354667.0
Boston,MA,2020-09-30,649900.0
San Francisco,CA,2020-09-30,999167.0
Detroit,MI,2020-09-30,283300.0
Riverside,CA,2020-09-30,471667.0
Phoenix,AZ,2020-09-30,399967.0
Seattle,WA,2020-09-30,664333.0
Minneapolis-St Paul,MN,2020-09-30,386037.0
San Diego,CA,2020-09-30,841267.0
St. Louis,MO,2020-09-30,257133.0
Tampa,FL,2020-09-30,296854.0
Baltimore,MD,2020-09-30,361342.0
Denver,CO,2020-09-30,543667.0
Pittsburgh,PA,2020-09-30,234163.0
Portland,OR,2020-09-30,499937.0
Charlotte,NC,2020-09-30,369651.0
Sacramento,CA,2020-09-30,559663.0
San Antonio,TX,2020-09-30,299633.0
Orlando,FL,2020-09-30,330633.0
Cincinnati,OH,2020-09-30,327533.0
Cleveland,OH,2020-09-30,214300.0
Kansas City,MO,2020-09-30,353317.0
Las Vegas,NV,2020-09-30,344667.0
Columbus,OH,2020-09-30,329967.0
Indianapolis,IN,2020-09-30,309997.0
San Jose,CA,2020-09-30,1254983.0
Austin,TX,2020-09-30,390720.0
Virginia Beach,VA,2020-09-30,316382.0
Nashville,TN,2020-09-30,381567.0
Providence,RI,2020-09-30,422328.0
Milwaukee,WI,2020-09-30,253267.0
Jacksonville,FL,2020-09-30,317967.0
Memphis,TN,2020-09-30,259967.0
Oklahoma City,OK,2020-09-30,296683.0
Louisville-Jefferson County,KY,2020-09-30,288932.0
Hartford,CT,2020-09-30,345036.0
Richmond,VA,2020-09-30,382304.0
New Orleans,LA,2020-09-30,296833.0
Buffalo,NY,2020-09-30,228296.0
Raleigh,NC,2020-09-30,386899.0
Birmingham,AL,2020-09-30,277548.0
Salt Lake City,UT,2020-09-30,498172.0
Rochester,NY,2020-09-30,261472.0
Grand Rapids,MI,2020-09-30,321600.0
Tucson,AZ,2020-09-30,328300.0
Urban Honolulu,HI,2020-09-30,600000.0
Tulsa,OK,2020-09-30,273294.0
Fresno,CA,2020-09-30,389528.0
Worcester,MA,2020-09-30,381579.0
Stamford,CT,2020-09-30,789978.0
Albuquerque,NM,2020-09-30,343810.0
Albany,NY,2020-09-30,310359.0
Omaha,NE,2020-09-30,327685.0
New Haven,CT,2020-09-30,347154.0
