City,Date,Avg_Rent
Washington,2020-07,2010
Miami-Fort Lauderdale,2020-07,1941
Atlanta,2020-07,1484
Boston,2020-07,2528
San Francisco,2020-07,3042
Detroit,2020-07,1207
Riverside,2020-07,1945
Phoenix,2020-07,1413
Seattle,2020-07,1951
Minneapolis-St Paul,2020-07,1511
San Diego,2020-07,2357
St. Louis,2020-07,1087
Tampa,2020-07,1479
Baltimore,2020-07,1525
Denver,2020-07,1657
Pittsburgh,2020-07,1188
Portland,2020-07,1599
Charlotte,2020-07,1400
Sacramento,2020-07,1868
San Antonio,2020-07,1218
Orlando,2020-07,1526
Cincinnati,2020-07,1210
Cleveland,2020-07,1160
Kansas City,2020-07,1145
Las Vegas,2020-07,1386
Columbus,2020-07,1217
Indianapolis,2020-07,1211
San Jose,2020-07,3043
Austin,2020-07,1456
Virginia Beach,2020-07,1326
Nashville,2020-07,1477
Providence,2020-07,1523
Milwaukee,2020-07,1067
Jacksonville,2020-07,1335
Memphis,2020-07,1195
Oklahoma City,2020-07,1121
Louisville-Jefferson County,2020-07,1107
Hartford,2020-07,1390
Richmond,2020-07,1320
New Orleans,2020-07,1248
Buffalo,2020-07,1059
Raleigh,2020-07,1388
Birmingham,2020-07,1129
Salt Lake City,2020-07,1312
Rochester,2020-07,1171
Grand Rapids,2020-07,1220
Tucson,2020-07,1221
Urban Honolulu,2020-07,2319
Tulsa,2020-07,1059
Fresno,2020-07,1561
Worcester,2020-07,1511
Stamford,2020-07,2237
Albuquerque,2020-07,1177
Albany,2020-07,1229
Omaha,2020-07,1072
New Haven,2020-07,1605
Bakersfield,2020-07,1364
Knoxville,2020-07,1238
Greenville,2020-07,1221
Ventura,2020-07,2465
Allentown,2020-07,1425
El Paso,2020-07,1125
Baton Rouge,2020-07,1199
Dayton,2020-07,1068
McAllen,2020-07,916
Columbia,2020-07,1158
Greensboro,2020-07,1100
Akron,2020-07,980
North Port-Sarasota-Bradenton,2020-07,1645
Little Rock,2020-07,993
Stockton,2020-07,1972
Charleston,2020-07,1453
Syracuse,2020-07,1141
Colorado Springs,2020-07,1501
Winston-Salem,2020-07,1264
Wichita,2020-07,839
Springfield,2020-07,1374
Fort Myers,2020-07,1475
Boise City,2020-07,1364
Toledo,2020-07,1046
Madison,2020-07,1230
Lakeland,2020-07,1363
Ogden,2020-07,1338
Daytona Beach,2020-07,1401
Des Moines,2020-07,1091
Jackson,2020-07,1207
Youngstown,2020-07,800
Augusta,2020-07,1101
Scranton,2020-07,998
Harrisburg,2020-07,1135
Melbourne,2020-07,1434
Chattanooga,2020-07,1181
Spokane,2020-07,1228
Provo,2020-07,1379
Durham,2020-07,1358
Port St. Lucie,2020-07,1611
Killeen,2020-07,1048
Fort Collins,2020-07,1591
Boulder,2020-07,1870
College Station,2020-07,1169
Gainesville,2020-07,1234
Sierra Vista,2020-07,924
Sebring,2020-07,989
New York,2020-08,2605
Los Angeles-Long Beach-Anaheim,2020-08,2438
Chicago,2020-08,1711
Dallas-Fort Worth,2020-08,1432
Philadelphia,2020-08,1593
Houston,2020-08,1355
Washington,2020-08,1998
Miami-Fort Lauderdale,2020-08,1944
Atlanta,2020-08,1496
Boston,2020-08,2484
San Francisco,2020-08,2977
Detroit,2020-08,1214
Riverside,2020-08,1975
Phoenix,2020-08,1430
Seattle,2020-08,1941
Minneapolis-St Paul,2020-08,1513
San Diego,2020-08,2364
St. Louis,2020-08,1092
Tampa,2020-08,1491
Baltimore,2020-08,1524
Denver,2020-08,1655
Pittsburgh,2020-08,1187
Portland,2020-08,1607
Charlotte,2020-08,1401
Sacramento,2020-08,1885
San Antonio,2020-08,1226
Orlando,2020-08,1525
Cincinnati,2020-08,1211
Cleveland,2020-08,1177
Kansas City,2020-08,1148
Las Vegas,2020-08,1404
Columbus,2020-08,1223
Indianapolis,2020-08,1221
San Jose,2020-08,3001
Austin,2020-08,1450
Virginia Beach,2020-08,1340
Nashville,2020-08,1478
Providence,2020-08,1523
Milwaukee,2020-08,1070
Jacksonville,2020-08,1352
Memphis,2020-08,1216
Oklahoma City,2020-08,1124
Louisville-Jefferson County,2020-08,1107
Hartford,2020-08,1395
Richmond,2020-08,1325
New Orleans,2020-08,1244
Buffalo,2020-08,1069
Raleigh,2020-08,1393
Birmingham,2020-08,1134
Salt Lake City,2020-08,1315
Rochester,2020-08,1172
Grand Rapids,2020-08,1214
Tucson,2020-08,1237
Urban Honolulu,2020-08,2326
Tulsa,2020-08,1074
Fresno,2020-08,1581
Worcester,2020-08,1512
Stamford,2020-08,2245
Albuquerque,2020-08,1188
Albany,2020-08,1233
Omaha,2020-08,1077
New Haven,2020-08,1609
Bakersfield,2020-08,1393
Knoxville,2020-08,1259
Greenville,2020-08,1229
Ventura,2020-08,2484
Allentown,2020-08,1439
El Paso,2020-08,1132
Baton Rouge,2020-08,1208
Dayton,2020-08,1074
McAllen,2020-08,922
Columbia,2020-08,1153
Greensboro,2020-08,1102
Akron,2020-08,985
North Port-Sarasota-Bradenton,2020-08,1653
Little Rock,2020-08,998
Stockton,2020-08,2005
Charleston,2020-08,1457
Syracuse,2020-08,1155
Colorado Springs,2020-08,1514
Winston-Salem,2020-08,1281
Wichita,2020-08,844
Springfield,2020-08,1356
Fort Myers,2020-08,1484
Boise City,2020-08,1378
Toledo,2020-08,1043
Madison,2020-08,1230
Lakeland,2020-08,1375
Ogden,2020-08,1340
Daytona Beach,2020-08,1406
Des Moines,2020-08,1099
Jackson,2020-08,1224
Youngstown,2020-08,791
Augusta,2020-08,1111
Scranton,2020-08,1002
Harrisburg,2020-08,1150
Melbourne,2020-08,1449
Chattanooga,2020-08,1187
Spokane,2020-08,1233
Provo,2020-08,1380
Durham,2020-08,1361
Port St. Lucie,2020-08,1634
Killeen,2020-08,1062
Fort Collins,2020-08,1579
Boulder,2020-08,1868
College Station,2020-08,1159
Gainesville,2020-08,1246
Sierra Vista,2020-08,923
Sebring,2020-08,986
New York,2020-09,2549
Los Angeles-Long Beach-Anaheim,2020-09,2441
Chicago,2020-09,1693
Dallas-Fort Worth,2020-09,1434
Philadelphia,2020-09,1593
Houston,2020-09,1358
Washington,2020-09,1981
Miami-Fort Lauderdale,2020-09,1950
Atlanta,2020-09,1506
Boston,2020-09,2426
San Francisco,2020-09,2918
Detroit,2020-09,1223
Riverside,2020-09,2010
Phoenix,2020-09,1446
Seattle,2020-09,1918
Minneapolis-St Paul,2020-09,1509
San Diego,2020-09,2377
St. Louis,2020-09,1097
Tampa,2020-09,1505
