City,State,Date,HVI
New London,CT,RegionID,394924.0
San Luis Obispo,CA,RegionID,395061.0
Gainesville,FL,RegionID,394622.0
Santa Cruz,CA,RegionID,395065.0
Clarksville,TN,RegionID,394471.0
Cedar Rapids,IA,RegionID,394447.0
Merced,CA,RegionID,394851.0
Wilmington,NC,RegionID,395229.0
Kennewick,WA,RegionID,394741.0
Greeley,CO,RegionID,394645.0
Waco,TX,RegionID,395197.0
Olympia,WA,RegionID,394937.0
Amarillo,TX,RegionID,394323.0
Binghamton,NY,RegionID,394387.0
Hagerstown,MD,RegionID,394660.0
Bremerton,WA,RegionID,394412.0
Laredo,TX,RegionID,394772.0
Lynchburg,VA,RegionID,394811.0
Yakima,WA,RegionID,395240.0
Crestview-Fort Walton Beach-Destin,FL,RegionID,753875.0
Topeka,KS,RegionID,395161.0
Macon-Bibb County,GA,RegionID,394813.0
Champaign-Urbana,IL,RegionID,394454.0
Tuscaloosa,AL,RegionID,395171.0
College Station,TX,RegionID,394483.0
Sioux Falls,SD,RegionID,395103.0
Charleston,WV,RegionID,394455.0
Appleton,WI,RegionID,394334.0
Chico,CA,RegionID,394464.0
Charlottesville,VA,RegionID,394459.0
Claremont,NH,RegionID,394468.0
Barnstable Town,MA,RegionID,394361.0
Longview,TX,RegionID,394803.0
Burlington,VT,RegionID,394429.0
Prescott,AZ,RegionID,395002.0
Springfield,IL,RegionID,395114.0
Tyler,TX,RegionID,395174.0
Las Cruces,NM,RegionID,394773.0
Fargo,ND,RegionID,394585.0
Houma,LA,RegionID,394691.0
Rochester,MN,RegionID,395030.0
Florence,SC,RegionID,394597.0
Medford,OR,RegionID,394848.0
Lafayette-West Lafayette,IN,RegionID,753895.0
Bellingham,WA,RegionID,394378.0
Lake Havasu City,AZ,RegionID,394765.0
Saginaw,MI,RegionID,395047.0
Lake Charles,LA,RegionID,394763.0
Johnson City,TN,RegionID,394726.0
Elkhart,IN,RegionID,394565.0
Yuma,AZ,RegionID,395247.0
Racine,WI,RegionID,395011.0
Athens,GA,RegionID,394346.0
Torrington,CT,RegionID,395162.0
St. Cloud,MN,RegionID,395118.0
Hilton Head Island,SC,RegionID,394681.0
Bloomington,IL,RegionID,753869.0
Hilo,HI,RegionID,394680.0
Panama City,FL,RegionID,394960.0
Kingston,NY,RegionID,394748.0
Daphne,AL,RegionID,394519.0
Gainesville,GA,RegionID,394623.0
Warner Robins,GA,RegionID,395202.0
Blacksburg,VA,RegionID,394392.0
Jacksonville,NC,RegionID,394716.0
Redding,CA,RegionID,395018.0
Monroe,LA,RegionID,394872.0
Joplin,MO,RegionID,394729.0
El Centro,CA,RegionID,394559.0
Terre Haute,IN,RegionID,395151.0
Muskegon,MI,RegionID,394896.0
East Stroudsburg,PA,RegionID,394553.0
Sioux City,IA,RegionID,395102.0
Greenville,NC,RegionID,394651.0
Waterloo,IA,RegionID,395210.0
Oshkosh,WI,RegionID,394944.0
Yuba City,CA,RegionID,395246.0
Abilene,TX,RegionID,394299.0
Columbia,MO,RegionID,394485.0
Dover,DE,RegionID,394539.0
Eau Claire,WI,RegionID,394555.0
Janesville,WI,RegionID,394720.0
Jackson,MI,RegionID,394710.0
Punta Gorda,FL,RegionID,395009.0
Bloomington,IN,RegionID,394393.0
Pueblo,CO,RegionID,395007.0
Billings,MT,RegionID,394386.0
Bowling Green,KY,RegionID,394406.0
Bend,OR,RegionID,394380.0
Albany,GA,RegionID,394306.0
Vineland,NJ,RegionID,395193.0
Niles,MI,RegionID,394917.0
Kahului,HI,RegionID,394731.0
Ottawa,IL,RegionID,394946.0
State College,PA,RegionID,395125.0
Bangor,ME,RegionID,394359.0
Alexandria,LA,RegionID,394314.0
Decatur,AL,RegionID,394523.0
Hanford,CA,RegionID,394662.0
Iowa City,IA,RegionID,394707.0
Rocky Mount,NC,RegionID,395036.0
Monroe,MI,RegionID,394873.0
Wichita Falls,TX,RegionID,395223.0
Burlington,NC,RegionID,394428.0
Madera,CA,RegionID,394814.0
Jefferson City,MO,RegionID,394723.0
Chambersburg,PA,RegionID,394453.0
Texarkana,TX,RegionID,395152.0
Elizabethtown,KY,RegionID,394563.0
Pottsville,PA,RegionID,395000.0
Wheeling,OH,RegionID,395221.0
Florence,AL,RegionID,394598.0
Grand Junction,CO,RegionID,394639.0
Concord,NH,RegionID,394493.0
Dothan,AL,RegionID,394537.0
Santa Fe,NM,RegionID,395066.0
Johnstown,PA,RegionID,394727.0
Traverse City,MI,RegionID,395163.0
Hattiesburg,MS,RegionID,394671.0
Dalton,GA,RegionID,394515.0
Midland,TX,RegionID,394860.0
Homosassa Springs,FL,RegionID,394685.0
Auburn,AL,RegionID,394351.0
Valdosta,GA,RegionID,395182.0
Coeur d'Alene,ID,RegionID,394480.0
Springfield,OH,RegionID,395117.0
St. George,UT,RegionID,395119.0
Vero Beach,FL,RegionID,395079.0
Odessa,TX,RegionID,394930.0
Napa,CA,RegionID,394900.0
Tupelo,MS,RegionID,395170.0
Battle Creek,MI,RegionID,394368.0
Jamestown,NY,RegionID,394719.0
Eureka,CA,RegionID,394577.0
Rapid City,SD,RegionID,395013.0
Flagstaff,AZ,RegionID,394595.0
Lumberton,NC,RegionID,394810.0
Wausau,WI,RegionID,395215.0
La Crosse,WI,RegionID,394756.0
Lebanon,PA,RegionID,394783.0
Idaho Falls,ID,RegionID,394703.0
Sierra Vista,AZ,RegionID,395098.0
Pittsfield,MA,RegionID,394983.0
Lawton,OK,RegionID,394780.0
Farmington,NM,RegionID,394588.0
Jackson,TN,RegionID,394712.0
Morgantown,WV,RegionID,394879.0
Glens Falls,NY,RegionID,394633.0
Winchester,VA,RegionID,395232.0
St. Joseph,MO,RegionID,395120.0
Altoona,PA,RegionID,394321.0
New Bern,NC,RegionID,394905.0
Carbondale,IL,RegionID,394442.0
London,KY,RegionID,394802.0
Logan,UT,RegionID,394800.0
Harrisonburg,VA,RegionID,394668.0
Beckley,WV,RegionID,394374.0
Mansfield,OH,RegionID,394824.0
Weirton,OH,RegionID,395217.0
Goldsboro,NC,RegionID,394635.0
Augusta,ME,RegionID,394353.0
Hammond,LA,RegionID,394661.0
Jonesboro,AR,RegionID,394728.0
Sherman,TX,RegionID,395094.0
Anniston,AL,RegionID,394333.0
Staunton,VA,RegionID,395128.0
Muncie,IN,RegionID,394893.0
Mount Vernon,WA,RegionID,394890.0
Albany,OR,RegionID,394307.0
Watertown,NY,RegionID,395213.0
Williamsport,PA,RegionID,395225.0
Cleveland,TN,RegionID,394474.0
Sheboygan,WI,RegionID,395089.0
Bismarck,ND,RegionID,394390.0
Owensboro,KY,RegionID,394949.0
Dunn,NC,RegionID,394546.0
Wooster,OH,RegionID,395237.0
Morristown,TN,RegionID,394880.0
Kankakee,IL,RegionID,394734.0
