Date,City,State,HVI,%Change_HVI
2020-07-31,Canton,OH,143008.0,90.43
2020-07-31,Beaumont,TX,134337.0,0.89
2020-07-31,Manchester,NH,322804.0,0.33
2020-07-31,Salem,OR,325094.0,192.03
2020-07-31,Anchorage,AK,314363.0,-0.26
2020-07-31,Davenport,IL,137614.0,0.2
2020-07-31,Peoria,IL,115923.0,0.12
2020-07-31,Myrtle Beach,SC,219174.0,0.79
2020-07-31,Montgomery,AL,141023.0,0.69
2020-07-31,Salisbury,DE,270259.0,0.55
2020-07-31,Gulfport,MS,146606.0,0.46
2020-07-31,Tallahassee,FL,188896.0,0.33
2020-07-31,Trenton,NJ,261440.0,-0.03
2020-07-31,Fayetteville,NC,138983.0,-32.39
2020-07-31,Huntington,WV,105462.0,-0.06
2020-07-31,Eugene,OR,333221.0,-0.16
2020-07-31,Rockford,IL,126346.0,0.08
2020-07-31,Savannah,GA,204168.0,0.37
2020-07-31,Ann Arbor,MI,305712.0,0.15
2020-07-31,Ocala,FL,170619.0,0.24
2020-07-31,Kalamazoo,MI,184865.0,0.58
2020-07-31,Naples,FL,351552.0,0.24
2020-07-31,South Bend,IN,145748.0,0.33
2020-07-31,Spartanburg,SC,167434.0,0.67
2020-07-31,Evansville,IN,148783.0,0.48
2020-07-31,Kingsport,TN,138230.0,0.63
2020-07-31,Roanoke,VA,191082.0,0.56
2020-07-31,Green Bay,WI,194358.0,0.5
2020-07-31,Lincoln,NE,214170.0,120.59
2020-07-31,Fort Collins,CO,427217.0,0.07
2020-07-31,Utica,NY,139983.0,-0.0
2020-07-31,Columbus,GA,129861.0,-42.34
2020-07-31,Boulder,CO,582531.0,0.13
2020-07-31,Lubbock,TX,155203.0,0.48
2020-07-31,Fort Smith,AR,115236.0,0.02
2020-07-31,Duluth,MN,176248.0,0.09
2020-07-31,Atlantic City,NJ,212141.0,0.89
2020-07-31,New London,CT,252927.0,1.14
2020-07-31,San Luis Obispo,CA,648866.0,0.18
2020-07-31,Gainesville,FL,207627.0,-15.54
2020-07-31,Santa Cruz,CA,885386.0,0.37
2020-07-31,Clarksville,TN,187005.0,0.97
2020-07-31,Cedar Rapids,IA,166911.0,0.43
2020-07-31,Merced,CA,288199.0,1.42
2020-07-31,Wilmington,NC,271130.0,0.57
2020-07-31,Kennewick,WA,315059.0,0.28
2020-07-31,Greeley,CO,391654.0,0.29
2020-07-31,Waco,TX,173492.0,0.59
2020-07-31,Olympia,WA,368043.0,0.97
2020-07-31,Amarillo,TX,148235.0,-0.14
2020-07-31,Binghamton,NY,126862.0,1.06
2020-07-31,Hagerstown,MD,208320.0,0.28
2020-07-31,Bremerton,WA,412838.0,0.65
2020-07-31,Laredo,TX,160549.0,0.44
2020-07-31,Lynchburg,VA,192476.0,0.84
2020-07-31,Yakima,WA,251880.0,0.01
2020-07-31,Crestview-Fort Walton Beach-Destin,FL,296408.0,0.41
2020-07-31,Topeka,KS,137933.0,0.89
2020-07-31,Macon-Bibb County,GA,114409.0,0.34
2020-07-31,Champaign-Urbana,IL,149446.0,0.23
2020-07-31,Tuscaloosa,AL,172535.0,0.67
2020-07-31,College Station,TX,217364.0,0.65
2020-07-31,Sioux Falls,SD,234502.0,0.25
2020-07-31,Appleton,WI,201630.0,0.59
2020-07-31,Chico,CA,332310.0,0.6
2020-07-31,Charlottesville,VA,319004.0,0.29
2020-07-31,Claremont,NH,230645.0,0.6
2020-07-31,Barnstable Town,MA,455633.0,0.36
2020-07-31,Longview,TX,154482.0,-48.97
2020-07-31,Burlington,VT,323615.0,207.27
2020-07-31,Prescott,AZ,329148.0,0.6
2020-07-31,Tyler,TX,185248.0,0.45
2020-07-31,Las Cruces,NM,185410.0,0.52
2020-07-31,Fargo,ND,235202.0,0.33
2020-07-31,Houma,LA,162502.0,-1.92
2020-07-31,Rochester,MN,246453.0,47.36
2020-07-31,Florence,SC,127204.0,4.08
2020-07-31,Medford,OR,334288.0,0.82
2020-07-31,Lafayette-West Lafayette,IN,178594.0,0.5
2020-07-31,Bellingham,WA,438456.0,0.14
2020-07-31,Lake Havasu City,AZ,248053.0,0.63
2020-07-31,Saginaw,MI,106784.0,0.86
2020-07-31,Lake Charles,LA,193219.0,0.21
2020-07-31,Elkhart,IN,173549.0,0.53
2020-07-31,Yuma,AZ,173450.0,0.62
2020-07-31,Racine,WI,160370.0,0.67
2020-07-31,Athens,GA,222934.0,33.82
2020-07-31,Torrington,CT,254830.0,0.96
2020-07-31,St. Cloud,MN,226851.0,0.92
2020-07-31,Hilton Head Island,SC,325457.0,0.31
2020-07-31,Bloomington,IL,156559.0,-27.04
2020-07-31,Hilo,HI,397676.0,0.29
2020-07-31,Panama City,FL,241844.0,0.03
2020-07-31,Kingston,NY,249095.0,0.97
2020-07-31,Daphne,AL,236197.0,0.27
2020-07-31,Gainesville,GA,246904.0,18.92
2020-07-31,Warner Robins,GA,151978.0,0.49
2020-07-31,Blacksburg,VA,201280.0,0.49
2020-07-31,Jacksonville,NC,175751.0,-27.07
2020-07-31,Redding,CA,285259.0,0.35
2020-07-31,Monroe,LA,138192.0,-26.06
2020-07-31,Joplin,MO,138222.0,0.65
2020-07-31,El Centro,CA,227064.0,1.43
2020-07-31,Terre Haute,IN,99863.0,0.23
2020-07-31,Muskegon,MI,156205.0,0.85
2020-07-31,Sioux City,IA,146756.0,0.21
2020-07-31,Waterloo,IA,146429.0,0.22
2020-07-31,Oshkosh,WI,168585.0,0.76
2020-07-31,Yuba City,CA,318552.0,0.03
2020-07-31,Abilene,TX,141347.0,0.71
2020-07-31,Columbia,MO,206470.0,22.0
2020-07-31,Dover,DE,241600.0,0.46
2020-07-31,Eau Claire,WI,197838.0,0.84
2020-07-31,Janesville,WI,161345.0,0.69
2020-07-31,Jackson,MI,157852.0,10.74
2020-07-31,Punta Gorda,FL,233476.0,1.06
2020-07-31,Bloomington,IN,215860.0,37.88
2020-07-31,Pueblo,CO,210694.0,1.04
2020-07-31,Billings,MT,272515.0,-0.55
2020-07-31,Bend,OR,443580.0,-0.54
2020-07-31,Albany,GA,112523.0,-46.88
2020-07-31,Vineland,NJ,146747.0,1.53
2020-07-31,Niles,MI,190447.0,0.73
2020-07-31,Kahului,HI,733492.0,0.22
2020-07-31,Ottawa,IL,117026.0,0.42
2020-07-31,State College,PA,259576.0,0.22
2020-07-31,Bangor,ME,164618.0,0.71
2020-07-31,Alexandria,LA,150910.0,-36.89
2020-07-31,Decatur,AL,140975.0,53.99
2020-07-31,Hanford,CA,247171.0,0.57
2020-07-31,Iowa City,IA,233618.0,0.21
2020-07-31,Rocky Mount,NC,118565.0,-0.02
2020-07-31,Monroe,MI,188526.0,36.42
2020-07-31,Wichita Falls,TX,103482.0,-0.53
2020-07-31,Burlington,NC,171803.0,-46.91
2020-07-31,Madera,CA,296541.0,0.83
2020-07-31,Jefferson City,MO,164689.0,0.45
2020-07-31,Chambersburg,PA,190410.0,1.19
2020-07-31,Texarkana,TX,116709.0,0.1
2020-07-31,Elizabethtown,KY,162612.0,0.66
2020-07-31,Pottsville,PA,88584.0,0.89
2020-07-31,Wheeling,OH,105089.0,0.51
2020-07-31,Florence,AL,122319.0,-3.84
2020-07-31,Grand Junction,CO,282698.0,0.66
2020-07-31,Concord,NH,280339.0,0.34
2020-07-31,Dothan,AL,128515.0,0.61
2020-07-31,Santa Fe,NM,396338.0,0.31
2020-07-31,Johnstown,PA,83355.0,2.66
2020-07-31,Traverse City,MI,255426.0,0.21
2020-07-31,Hattiesburg,MS,148479.0,0.31
2020-07-31,Dalton,GA,148220.0,0.3
2020-07-31,Midland,TX,265041.0,69.36
2020-07-31,Homosassa Springs,FL,176955.0,1.36
2020-07-31,Valdosta,GA,131920.0,0.68
2020-07-31,Coeur d'Alene,ID,375602.0,-0.21
2020-07-31,Springfield,OH,123448.0,-26.05
2020-07-31,St. George,UT,353864.0,0.99
2020-07-31,Vero Beach,FL,246210.0,0.42
2020-07-31,Napa,CA,705588.0,0.4
2020-07-31,Tupelo,MS,126857.0,0.27
2020-07-31,Battle Creek,MI,127612.0,0.16
2020-07-31,Jamestown,NY,109781.0,-36.81
2020-07-31,Eureka,CA,335891.0,1.2
2020-07-31,Flagstaff,AZ,385579.0,0.32
2020-07-31,Lumberton,NC,80879.0,0.36
2020-07-31,Wausau,WI,177979.0,0.33
2020-07-31,La Crosse,WI,207805.0,0.61
2020-07-31,Lebanon,PA,197302.0,49.11
2020-07-31,Idaho Falls,ID,270004.0,1.0
2020-07-31,Sierra Vista,AZ,169632.0,0.78
2020-07-31,Pittsfield,MA,244363.0,0.47
2020-07-31,Farmington,NM,147295.0,19.7
2020-07-31,Jackson,TN,126473.0,-19.88
2020-07-31,Glens Falls,NY,192147.0,0.03
2020-07-31,Winchester,VA,252100.0,0.37
2020-07-31,St. Joseph,MO,124298.0,0.49
2020-07-31,Altoona,PA,125485.0,1.17
2020-07-31,New Bern,NC,166247.0,0.47
2020-07-31,Carbondale,IL,102535.0,-0.17
2020-07-31,London,KY,103321.0,-0.6
2020-07-31,Logan,UT,300517.0,241.9
2020-07-31,Harrisonburg,VA,231462.0,0.5
2020-07-31,Beckley,WV,83832.0,0.14
2020-07-31,Mansfield,OH,119854.0,-1.3
2020-07-31,Weirton,OH,88265.0,0.33
2020-07-31,Goldsboro,NC,137210.0,0.23
2020-07-31,Augusta,ME,186962.0,14.14
2020-07-31,Hammond,LA,166488.0,-0.04
2020-07-31,Sherman,TX,186301.0,0.17
2020-07-31,Staunton,VA,208911.0,0.48
2020-07-31,Muncie,IN,99619.0,0.8
2020-07-31,Mount Vernon,WA,403358.0,0.78
2020-07-31,Albany,OR,295480.0,162.6
2020-07-31,Watertown,NY,148784.0,-27.09
2020-07-31,Williamsport,PA,173274.0,0.37
2020-07-31,Cleveland,TN,182551.0,10.0
2020-07-31,Sheboygan,WI,160171.0,1.1
2020-07-31,Bismarck,ND,275008.0,0.05
2020-07-31,Owensboro,KY,134883.0,2.19
2020-07-31,Dunn,NC,182111.0,0.91
2020-07-31,Morristown,TN,160843.0,0.59
2020-07-31,Kankakee,IL,150978.0,0.47
2020-07-31,Brunswick,GA,200111.0,0.25
2020-07-31,Ogdensburg,NY,79039.0,-0.46
2020-07-31,San Angelo,TX,162570.0,0.7
2020-07-31,Holland,MI,218284.0,0.53
2020-07-31,Wenatchee,WA,383091.0,0.82
2020-07-31,Lawrence,KS,217038.0,-0.38
2020-07-31,Decatur,IL,92229.0,-34.58
2020-07-31,Missoula,MT,368857.0,0.76
2020-07-31,Salem,OH,111984.0,-65.55
2020-07-31,Bay City,MI,114104.0,0.56
2020-07-31,Lewiston,ME,197112.0,0.81
2020-07-31,Roseburg,OR,237272.0,0.67
2020-07-31,Sumter,SC,132786.0,-0.43
2020-07-31,Show Low,AZ,237953.0,0.88
2020-07-31,Bluefield,WV,81124.0,0.27
