RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30
394404,10,"Boston, MA",Msa,MA,542667.0,545666.0,564333.0,584000.0,597833.0,596133.0,579767.0,556600.0,539633.0,536000.0,535833.0,531167.0,528133.0,533300.0,549967.0,570000.0,588000.0,594633.0,594600.0,586600.0,579933.0,574967.0,574967.0,573333.0,573333.0,581333.0,597667.0,605967.0,614600.0,623267.0,639933.0,648267.0,649900.0,657598.0,663965.0,666998.0,665667.0,672633.0,684633.0,694633.0,697967.0,699300.0,694300.0,680667.0,672633.0,671300.0,676633.0,684667.0,691300.0,713632.0,733632.0,749998.0,759000.0,759000.0
395057,11,"San Francisco, CA",Msa,CA,807296.0,824000.0,857667.0,899667.0,924667.0,938000.0,922333.0,881667.0,851667.0,842329.0,837996.0,819996.0,799600.0,802933.0,831250.0,867650.0,900983.0,907650.0,904946.0,886575.0,886259.0,889296.0,895667.0,877667.0,861000.0,873000.0,899667.0,916333.0,926697.0,951031.0,984364.0,998667.0,999167.0,999401.0,999361.0,995824.0,989227.0,984600.0,984304.0,990333.0,993667.0,996000.0,983333.0,964667.0,942333.0,930667.0,917333.0,907333.0,898667.0,912333.0,942629.0,975629.0,995596.0,1011320.0
394532,12,"Detroit, MI",Msa,MI,219929.0,218261.0,224628.0,237998.0,253000.0,263000.0,264633.0,259600.0,251600.0,244633.0,237967.0,231267.0,226567.0,226567.0,233233.0,246567.0,259900.0,269900.0,271267.0,267433.0,258433.0,248733.0,239267.0,231633.0,225833.0,224133.0,228300.0,234100.0,245750.0,261250.0,277917.0,286300.0,283300.0,278333.0,273300.0,268267.0,264933.0,266633.0,276633.0,288300.0,298267.0,301600.0,299233.0,289267.0,275933.0,261600.0,249833.0,238167.0,226500.0,216567.0,214933.0,223300.0,241650.0,261317.0
395025,13,"Riverside, CA",Msa,CA,390833.0,393500.0,396833.0,402666.0,406633.0,409966.0,409933.0,406633.0,403299.0,399966.0,399633.0,398633.0,398333.0,398663.0,402997.0,408330.0,415000.0,419967.0,423300.0,423800.0,420500.0,417167.0,415000.0,414667.0,414667.0,418000.0,423000.0,426333.0,428000.0,434667.0,446333.0,461333.0,471667.0,480000.0,485000.0,490000.0,491667.0,493333.0,494967.0,506633.0,520967.0,534700.0,543000.0,547000.0,549933.0,550697.0,550731.0,550764.0,550000.0,551633.0,559967.0,576333.0,591300.0,599600.0
394976,14,"Phoenix, AZ",Msa,AZ,332633.0,338300.0,346317.0,351317.0,354316.0,352966.0,349966.0,344933.0,341600.0,339600.0,339267.0,339263.0,341229.0,343896.0,347267.0,351600.0,355933.0,359267.0,359933.0,360967.0,362633.0,364333.0,366633.0,369933.0,375767.0,382433.0,388967.0,384767.0,379800.0,378574.0,388574.0,396908.0,399967.0,399967.0,399633.0,399600.0,401963.0,405297.0,413660.0,422997.0,436663.0,447997.0,458160.0,464493.0,468163.0,471333.0,474967.0,478300.0,482967.0,488000.0,494633.0,505300.0,520300.0,533667.0
395078,15,"Seattle, WA",Msa,WA,508316.0,528316.0,558817.0,583783.0,597117.0,599617.0,592650.0,581000.0,568000.0,564667.0,561333.0,561317.0,563317.0,578300.0,601633.0,626633.0,642917.0,644600.0,636267.0,624665.0,617965.0,616298.0,618267.0,621617.0,631600.0,647898.0,662915.0,662598.0,659667.0,660000.0,668667.0,671333.0,664333.0,652667.0,640000.0,636650.0,639983.0,654983.0,670000.0,686650.0,698313.0,705297.0,705297.0,698300.0,694650.0,693000.0,691650.0,686633.0,690297.0,711647.0,747880.0,787550.0,820414.0,826756.0
394865,16,"Minneapolis-St Paul, MN",Msa,MN,354456.0,371735.0,387318.0,392963.0,391231.0,383648.0,374990.0,367753.0,359789.0,355979.0,351097.0,351062.0,356568.0,368723.0,384340.0,392997.0,394728.0,388496.0,383301.0,375333.0,369412.0,362521.0,361485.0,361520.0,368446.0,379146.0,389534.0,392997.0,392997.0,392994.0,394691.0,392959.0,386037.0,378104.0,369481.0,369446.0,370827.0,379427.0,387767.0,392733.0,392900.0,389600.0,387933.0,382967.0,378300.0,373333.0,373333.0,378300.0,389297.0,402802.0,414468.0,421772.0,422954.0,417987.0
395056,17,"San Diego, CA",Msa,CA,705997.0,722663.0,735997.0,749333.0,749633.0,749633.0,742633.0,726000.0,706333.0,689999.0,681666.0,676667.0,676333.0,681333.0,694666.0,715000.0,734666.0,746000.0,747667.0,747667.0,747667.0,745667.0,744333.0,744333.0,747667.0,755967.0,771300.0,771633.0,771633.0,781633.0,814967.0,841267.0,841267.0,832933.0,816666.0,816633.0,817966.0,834633.0,843000.0,856633.0,856633.0,856300.0,849333.0,847633.0,844300.0,844300.0,846000.0,849665.0,858331.0,874665.0,896667.0,921333.0,938333.0,949333.0
395121,18,"St. Louis, MO",Msa,MO,190933.0,191267.0,196567.0,204933.0,213267.0,218267.0,219758.0,219458.0,219158.0,217667.0,214667.0,209967.0,206267.0,207900.0,216100.0,227800.0,237800.0,242967.0,243300.0,241633.0,239633.0,237933.0,234600.0,229933.0,228300.0,231633.0,237267.0,242267.0,248597.0,254797.0,259763.0,258967.0,257133.0,255400.0,253200.0,249867.0,248300.0,253300.0,261633.0,271600.0,273933.0,272267.0,265467.0,258167.0,253133.0,247633.0,244267.0,242633.0,244800.0,251500.0,259800.0,264800.0,266467.0,264833.0
395148,19,"Tampa, FL",Msa,FL,260600.0,260600.0,262242.0,265623.0,270485.0,273705.0,273673.0,270453.0,267230.0,264042.0,262399.0,260149.0,259505.0,259505.0,262983.0,268457.0,276507.0,281691.0,283269.0,281691.0,280081.0,279791.0,278181.0,276281.0,273705.0,273705.0,275135.0,275132.0,276710.0,280110.0,286231.0,292672.0,296854.0,302651.0,303002.0,302359.0,300183.0,300705.0,306715.0,317827.0,333830.0,348000.0,361333.0,369986.0,376319.0,379986.0,386917.0,393583.0,398550.0,406300.0,416633.0,432300.0,443967.0,450633.0
