Date,City,State,SizeRank,Avg_Sale_Price,%Change_SP
2014-03-31,Tampa,FL,19,149333.0,-1.1
2014-03-31,Baltimore,MD,20,261633.0,-0.65
2014-03-31,Denver,CO,21,268512.0,0.88
2014-03-31,Pittsburgh,PA,22,130217.0,0.51
2014-03-31,Portland,OR,23,260807.0,1.46
2014-03-31,Charlotte,NC,24,180667.0,-0.64
2014-03-31,Sacramento,CA,25,288833.0,1.58
2014-03-31,San Antonio,TX,26,169800.0,0.08
2014-03-31,Orlando,FL,27,180933.0,0.65
2014-03-31,Cincinnati,OH,28,135800.0,-1.45
2014-03-31,Cleveland,OH,29,113833.0,0.92
2014-03-31,Kansas City,MO,30,150667.0,-2.16
2014-03-31,Las Vegas,NV,31,193417.0,0.48
2014-03-31,Columbus,OH,32,147000.0,-0.79
2014-03-31,Indianapolis,IN,33,128283.0,-3.15
2014-03-31,San Jose,CA,34,678417.0,3.51
2014-03-31,Austin,TX,35,225467.0,1.35
2014-03-31,Virginia Beach,VA,36,211806.0,0.63
2014-03-31,Nashville,TN,37,180063.0,-0.81
2014-03-31,Providence,RI,38,209500.0,0.0
2014-03-31,Milwaukee,WI,39,162917.0,1.3
2014-03-31,Jacksonville,FL,40,193409.0,2.29
2014-03-31,Memphis,TN,41,139517.0,-0.45
2014-03-31,Oklahoma City,OK,42,144500.0,0.35
2014-03-31,Louisville-Jefferson County,KY,43,137380.0,-0.19
2014-03-31,Hartford,CT,44,205500.0,-0.96
2014-03-31,Richmond,VA,45,200000.0,-0.83
2014-03-31,New Orleans,LA,46,166600.0,0.58
2014-03-31,Buffalo,NY,47,121650.0,-0.01
2014-03-31,Raleigh,NC,48,213083.0,-1.2
2014-03-31,Birmingham,AL,49,184573.0,-2.64
2014-03-31,Salt Lake City,UT,50,223047.0,0.23
2014-03-31,Rochester,NY,51,122983.0,-0.65
2014-03-31,Grand Rapids,MI,52,128133.0,-0.93
2014-03-31,Tucson,AZ,53,169583.0,1.1
2014-03-31,Urban Honolulu,HI,54,499000.0,1.78
2014-03-31,Tulsa,OK,55,138333.0,-0.84
2014-03-31,Fresno,CA,56,209417.0,1.62
2014-03-31,Worcester,MA,57,216750.0,1.92
2014-03-31,Stamford,CT,58,365517.0,-3.26
2014-03-31,Albuquerque,NM,59,166967.0,-2.53
2014-03-31,Albany,NY,60,176667.0,0.95
2014-03-31,Omaha,NE,61,146667.0,1.38
2014-03-31,New Haven,CT,62,178417.0,-1.61
