Date,City,State,Avg_List_Price,%Change_LP
2020-08-31,Columbus,OH,341600.0,-0.97
2020-08-31,Indianapolis,IN,316163.0,1.61
2020-08-31,San Jose,CA,1255000.0,1.37
2020-08-31,Austin,TX,383795.0,2.55
2020-08-31,Virginia Beach,VA,316612.0,1.03
2020-08-31,Nashville,TN,378267.0,0.89
2020-08-31,Providence,RI,425789.0,1.51
2020-08-31,Milwaukee,WI,259900.0,-1.27
2020-08-31,Jacksonville,FL,319300.0,0.42
2020-08-31,Memphis,TN,264267.0,1.48
2020-08-31,Oklahoma City,OK,300452.0,0.46
2020-08-31,Louisville-Jefferson County,KY,297265.0,-0.78
2020-08-31,Hartford,CT,345036.0,1.93
2020-08-31,Richmond,VA,383359.0,1.06
2020-08-31,New Orleans,LA,293467.0,1.75
2020-08-31,Buffalo,NY,231743.0,-0.02
2020-08-31,Raleigh,NC,383164.0,1.3
2020-08-31,Birmingham,AL,282277.0,-0.04
2020-08-31,Salt Lake City,UT,499590.0,1.26
2020-08-31,Rochester,NY,268596.0,-0.05
2020-08-31,Grand Rapids,MI,321633.0,0.01
2020-08-31,Tucson,AZ,329967.0,3.14
2020-08-31,Urban Honolulu,HI,608333.0,0.05
2020-08-31,Tulsa,OK,273294.0,1.72
2020-08-31,Fresno,CA,387078.0,1.71
2020-08-31,Worcester,MA,381897.0,0.93
2020-08-31,Stamford,CT,798522.0,0.9
2020-08-31,Albuquerque,NM,343360.0,2.49
2020-08-31,Albany,NY,315098.0,1.9
2020-08-31,Omaha,NE,332079.0,0.01
2020-08-31,New Haven,CT,348550.0,1.01
2020-08-31,Bakersfield,CA,289300.0,2.84
2020-08-31,Knoxville,TN,341667.0,3.02
2020-08-31,Greenville,SC,286425.0,0.65
2020-08-31,Ventura,CA,858466.0,2.83
2020-08-31,Allentown,PA,315476.0,2.36
2020-08-31,El Paso,TX,211090.0,1.22
2020-08-31,Baton Rouge,LA,264030.0,2.28
2020-08-31,Dayton,OH,219981.0,-1.25
2020-08-31,McAllen,TX,218600.0,1.71
2020-08-31,Columbia,SC,241923.0,1.06
2020-08-31,Greensboro,NC,291663.0,1.98
2020-08-31,Akron,OH,187333.0,1.65
2020-08-31,North Port-Sarasota-Bradenton,FL,380500.0,1.51
2020-08-31,Little Rock,AR,205919.0,-0.74
2020-08-31,Stockton,CA,452227.0,2.92
2020-08-31,Charleston,SC,396516.0,1.38
2020-08-31,Syracuse,NY,188590.0,0.15
2020-08-31,Colorado Springs,CO,488532.0,0.0
2020-08-31,Winston-Salem,NC,306346.0,0.5
2020-08-31,Wichita,KS,264367.0,1.31
2020-08-31,Springfield,MA,324087.0,1.96
2020-08-31,Fort Myers,FL,271774.0,0.71
2020-08-31,Boise City,ID,421627.0,2.02
2020-08-31,Toledo,OH,208233.0,4.06
2020-08-31,Madison,WI,351300.0,-0.93
2020-08-31,Lakeland,FL,247302.0,1.14
2020-08-31,Ogden,UT,441208.0,1.69
2020-08-31,Daytona Beach,FL,287833.0,0.82
2020-08-31,Des Moines,IA,275637.0,-0.15
2020-08-31,Provo,UT,460138.0,3.4
2020-08-31,Durham,NC,416606.0,2.39
2020-08-31,Fort Collins,CO,467715.0,0.44
2020-09-30,New York,NY,642633.0,2.12
2020-09-30,Los Angeles-Long Beach-Anaheim,CA,971000.0,1.36
2020-09-30,Chicago,IL,349967.0,0.33
2020-09-30,Dallas-Fort Worth,TX,359767.0,0.46
2020-09-30,Philadelphia,PA,336333.0,1.0
2020-09-30,Houston,TX,331506.0,1.29
